4,"B.J. Boston, Jr.",SG,6-Jun,188,22,New Orleans Pelicans,3,Kentucky,2021 Rnd 2 Pick 21,United States
25,Chris Boucher,PF,9-Jun,200,31,Toronto Raptors,7,Oregon,"2017 NBA Draft, Undrafted",Saint LuciaCanada
22,Malaki Branham,GF,4-Jun,180,21,San Antonio Spurs,2,Ohio State,2022 Rnd 1 Pick 20,United States
0,Christian Braun,SF,6-Jun,220,23,Denver Nuggets,2,Kansas,2022 Rnd 1 Pick 21,United States
15,Jalen Bridges,F,8-Jun,225,24,Phoenix Suns,0,Baylor,"2024 NBA Draft, Undrafted",United States
25,Mikal Bridges,SG,6-Jun,209,28,New York Knicks,6,Villanova,2018 Rnd 1 Pick 10,United States
0,Miles Bridges,SF,7-Jun,225,26,Charlotte Hornets,5,Michigan State,2018 Rnd 1 Pick 12,United States
15,Malcolm Brogdon,SG,4-Jun,229,31,Washington Wizards,8,Virginia,2016 Rnd 2 Pick 6,United States
9,Dillon Brooks,F,6-Jun,225,28,Houston Rockets,7,Oregon,2017 Rnd 2 Pick 15,Canada
7,Jaylen Brown,SF,6-Jun,223,27,Boston Celtics,8,California,2016 Rnd 1 Pick 3,United States
11,"Bruce Brown, Jr.",SG,4-Jun,202,28,Toronto Raptors,6,Miami (FL),2018 Rnd 2 Pick 12,United States
21,Kobe Brown,GF,7-Jun,250,24,Los Angeles Clippers,1,Missouri,2023 Rnd 1 Pick 30,United States
11,Jalen Brunson,PG,2-Jun,190,28,New York Knicks,6,Villanova,2018 Rnd 2 Pick 3,United States
31,Thomas Bryant,C,10-Jun,248,27,Miami Heat,7,Indiana,2017 Rnd 2 Pick 12,United States
4,Kobe Bufkin,G,4-Jun,195,21,Atlanta Hawks,1,Michigan,2023 Rnd 1 Pick 15,United States
18,Alec Burks,SG,5-Jun,214,33,Miami Heat,13,Colorado,2011 Rnd 1 Pick 12,United States
4,Jared Butler,PG,3-Jun,193,24,Washington Wizards,3,Baylor,2021 Rnd 2 Pick 10,United States
22,Jimmy Butler,GF,7-Jun,230,35,Miami Heat,13,Marquette,2011 Rnd 1 Pick 30,United States
14,Matas Buzelis,F,10-Jun,209,20,Chicago Bulls,0,NBA G League Ignite,2024 Rnd 1 Pick 11,United StatesLithuania
8,Jamal Cain,F,6-Jun,191,25,New Orleans Pelicans,2,Oakland,"2022 NBA Draft, Undrafted",United States
3,Kentavious Caldwell-Pope,SG,5-Jun,204,31,Orlando Magic,11,Georgia,2013 Rnd 1 Pick 8,United States
33,Toumani Camara,SF,7-Jun,226,24,Portland Trail Blazers,1,Dayton,2023 Rnd 2 Pick 22,Belgium
31,Vlatko Cancar,SF,8-Jun,236,27,Denver Nuggets,5,KK Mega Bemax (Serbia),2017 Rnd 2 Pick 19,Slovenia
